"Gemeente"	"Jaar"	"Banen totaal"	"Vestigingen totaal"
"'s-Gravenhage"	"2017"	"273720"	"51490"
"'s-Hertogenbosch"	"2017"	"99430"	"13490"
"Aa en Hunze"	"2017"	"8310"	"2370"
"Aalburg"	"2017"	"4690"	"1340"
"Aalsmeer"	"2017"	"14970"	"2780"
"Aalten"	"2017"	"10470"	"2070"
"Achtkarspelen"	"2017"	"8980"	"2420"
"Alblasserdam"	"2017"	"8860"	"1460"
"Albrandswaard"	"2017"	"10990"	"1670"
"Alkmaar"	"2017"	"56110"	"9440"
"Almelo"	"2017"	"40340"	"5480"
"Almere"	"2017"	"81300"	"18300"
"Alphen aan den Rijn"	"2017"	"45530"	"8760"
"Alphen-Chaam"	"2017"	"2990"	"1120"
"Ameland"	"2017"	"2160"	"540"
"Amersfoort"	"2017"	"81900"	"15290"
"Amstelveen"	"2017"	"52580"	"10330"
"Amsterdam"	"2017"	"637040"	"147310"
"Apeldoorn"	"2017"	"95310"	"12920"
"Appingedam"	"2017"	"4080"	"600"
"Arnhem"	"2017"	"102020"	"14790"
"Assen"	"2017"	"41200"	"4570"
"Asten"	"2017"	"7660"	"1780"
"Baarle-Nassau"	"2017"	"3190"	"810"
"Baarn"	"2017"	"12180"	"3000"
"Barendrecht"	"2017"	"25700"	"3940"
"Barneveld"	"2017"	"32720"	"5850"
"Bedum"	"2017"	"2980"	"710"
"Beek"	"2017"	"9810"	"1530"
"Beemster"	"2017"	"3620"	"1040"
"Beesel"	"2017"	"3410"	"910"
"Bellingwedde"	"2017"	"2490"	"770"
"Berg en Dal"	"2017"	"13450"	"2750"
"Bergeijk"	"2017"	"8390"	"2070"
"Bergen (L.)"	"2017"	"4140"	"1110"
"Bergen (NH.)"	"2017"	"10410"	"3180"
"Bergen op Zoom"	"2017"	"29600"	"5020"
"Berkelland"	"2017"	"16600"	"3900"
"Bernheze"	"2017"	"10690"	"2430"
"Best"	"2017"	"17740"	"2660"
"Beuningen"	"2017"	"8140"	"2090"
"Beverwijk"	"2017"	"17780"	"3080"
"Binnenmaas"	"2017"	"9710"	"2310"
"Bladel"	"2017"	"13440"	"2020"
"Blaricum"	"2017"	"3510"	"930"
"Bloemendaal"	"2017"	"5870"	"2060"
"Bodegraven-Reeuwijk"	"2017"	"15650"	"3290"
"Boekel"	"2017"	"3860"	"890"
"Borger-Odoorn"	"2017"	"7170"	"2270"
"Borne"	"2017"	"6830"	"1710"
"Borsele"	"2017"	"9340"	"2430"
"Boxmeer"	"2017"	"15610"	"2000"
"Boxtel"	"2017"	"14820"	"2190"
"Breda"	"2017"	"101900"	"17500"
"Brielle"	"2017"	"6780"	"1290"
"Bronckhorst"	"2017"	"13650"	"3740"
"Brummen"	"2017"	"7830"	"1710"
"Brunssum"	"2017"	"7360"	"1680"
"Bunnik"	"2017"	"9050"	"1700"
"Bunschoten"	"2017"	"11360"	"1850"
"Buren"	"2017"	"8310"	"2900"
"Capelle aan den IJssel"	"2017"	"35170"	"4870"
